Title,SKU,Available
elegance-,12083010001007,3
elegance- Sand stone,12083010001122,2
Wave scarf,12083110831200,6
Orange Wave Scarf,12083241000200,7
wave,12085010001011,2
wave,12085010001013,2
Wave,12085010001015,9
Wave,12085010001017,12
Black Onyx,12093241000600,15
Satin Scarf,12093241001000,38
Sleeveless basics cotton - white,110600413200103,2
White Crossed Straps Slippers,111200020100301,1
Slipper,111200020101601,4
Blush Mauve Crossed Straps Slippers,111200020102002,1
Pink  Crossed Straps Slippers,111200020109801,1
Pink  Crossed Straps Slippers,111200020109802,2
Black Crossed Straps Slippers,111200020121701,2
Black Crossed Straps Slippers,111200020121702,6
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
